date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:29	74732/74732	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-123ec%22	https://rsms.me/inter/font-files/Inter.latin.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter.latin.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:29	224744/224744	---M--	200	added ('OK')	font/woff2	etag:%225f3ebe77-36de8%22	https://rsms.me/inter/font-files/Inter-roman.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-roman.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:30	0/-1	---M--	302	error ('')			http://bootstrap-ecommerce.com/templates/alistyle-html/images/banners/bg-pattern.svg	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/images/banners/bg-pattern.a1.delayed	(from http://bootstrap-ecommerce.com/templates/alistyle-html/css/ui.css)
15:44:32	214/214	---M--	302	error ('Found')	text/html	date:Wed,%2016%20Sep%202020%2010:14:30%20GMT	http://bootstrap-ecommerce.com/templates/alistyle-html/images/banners/bg-cpu.jpg	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/images/banners/bg-cpu.a2.delayed	(from http://bootstrap-ecommerce.com/templates/alistyle-html/css/ui.css)
15:44:32	148/148	---M--	200	added ('OK')	image/gif	etag:%2294-3e9564c23b600%22	http://bootstrap-ecommerce.com/icons/blank.gif	E:/DemoHTML/SBS/bootstrap-ecommerce.com/icons/blank.gif	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:33	3980/3980	---M--	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2010:14:33%20GMT	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/?C=N;O=D	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/indexc052.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:33	3980/3980	---M--	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2010:14:33%20GMT	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/?C=M;O=A	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/indexf8a0.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:34	245/245	---M--	200	added ('OK')	image/gif	etag:%22f5-3e9564c23b600%22	http://bootstrap-ecommerce.com/icons/unknown.gif	E:/DemoHTML/SBS/bootstrap-ecommerce.com/icons/unknown.gif	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:34	3980/3980	---M--	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2010:14:33%20GMT	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/?C=D;O=A	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/index30b5.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:34	3980/3980	---M--	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2010:14:33%20GMT	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/?C=S;O=A	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/indexbfec.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:34	229/229	---M--	200	added ('OK')	image/gif	etag:%22e5-3e9564c23b600%22	http://bootstrap-ecommerce.com/icons/text.gif	E:/DemoHTML/SBS/bootstrap-ecommerce.com/icons/text.gif	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:34	1878/1878	---M--	403	error ('Forbidden')	text/html	date:Wed,%2016%20Sep%202020%2010:14:34%20GMT	http://bootstrap-ecommerce.com/templates/alistyle-html/	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/index.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
